,slice_file_name,fsID,start,end,salience,fold,classID,class
0,100032-3-0-0.wav,100032,0.0,0.317551,1,5,3,dog_bark
1,100263-2-0-117.wav,100263,58.5,62.5,1,5,2,children_playing
2,100263-2-0-121.wav,100263,60.5,64.5,1,5,2,children_playing
3,100263-2-0-126.wav,100263,63.0,67.0,1,5,2,children_playing
4,100263-2-0-137.wav,100263,68.5,72.5,1,5,2,children_playing
5,100263-2-0-143.wav,100263,71.5,75.5,1,5,2,children_playing
6,100263-2-0-161.wav,100263,80.5,84.5,1,5,2,children_playing
7,100263-2-0-3.wav,100263,1.5,5.5,1,5,2,children_playing
8,100263-2-0-36.wav,100263,18.0,22.0,1,5,2,children_playing
14,100652-3-0-0.wav,100652,0.0,4.0,1,2,3,dog_bark
15,100652-3-0-1.wav,100652,0.5,4.5,1,2,3,dog_bark
16,100652-3-0-2.wav,100652,1.0,5.0,1,2,3,dog_bark
17,100652-3-0-3.wav,100652,1.5,5.5,1,2,3,dog_bark
18,100795-3-0-0.wav,100795,0.19179,4.19179,1,10,3,dog_bark
19,100795-3-1-0.wav,100795,13.059155,17.059155,1,10,3,dog_bark
20,100795-3-1-1.wav,100795,13.559155,17.559155,1,10,3,dog_bark
21,100795-3-1-2.wav,100795,14.059155,18.059155,1,10,3,dog_bark
22,100852-0-0-0.wav,100852,0.0,4.0,1,5,0,air_conditioner
23,100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner
24,100852-0-0-10.wav,100852,5.0,9.0,1,5,0,air_conditioner
25,100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner
26,100852-0-0-12.wav,100852,6.0,10.0,1,5,0,air_conditioner
27,100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner
28,100852-0-0-14.wav,100852,7.0,11.0,1,5,0,air_conditioner
29,100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner
30,100852-0-0-16.wav,100852,8.0,12.0,1,5,0,air_conditioner
31,100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner
32,100852-0-0-18.wav,100852,9.0,13.0,1,5,0,air_conditioner
33,100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner
34,100852-0-0-2.wav,100852,1.0,5.0,1,5,0,air_conditioner
35,100852-0-0-20.wav,100852,10.0,14.0,1,5,0,air_conditioner
36,100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner
37,100852-0-0-22.wav,100852,11.0,15.0,1,5,0,air_conditioner
38,100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner
39,100852-0-0-24.wav,100852,12.0,16.0,1,5,0,air_conditioner
40,100852-0-0-25.wav,100852,12.5,16.5,1,5,0,air_conditioner
41,100852-0-0-26.wav,100852,13.0,17.0,1,5,0,air_conditioner
42,100852-0-0-27.wav,100852,13.5,17.5,1,5,0,air_conditioner
43,100852-0-0-28.wav,100852,14.0,18.0,1,5,0,air_conditioner
44,100852-0-0-29.wav,100852,14.5,18.5,1,5,0,air_conditioner
45,100852-0-0-3.wav,100852,1.5,5.5,1,5,0,air_conditioner
46,100852-0-0-30.wav,100852,15.0,19.0,1,5,0,air_conditioner
47,100852-0-0-4.wav,100852,2.0,6.0,1,5,0,air_conditioner
48,100852-0-0-5.wav,100852,2.5,6.5,1,5,0,air_conditioner
49,100852-0-0-6.wav,100852,3.0,7.0,1,5,0,air_conditioner
50,100852-0-0-7.wav,100852,3.5,7.5,1,5,0,air_conditioner
51,100852-0-0-8.wav,100852,4.0,8.0,1,5,0,air_conditioner
52,100852-0-0-9.wav,100852,4.5,8.5,1,5,0,air_conditioner
56,101382-2-0-10.wav,101382,5.0,9.0,1,10,2,children_playing
57,101382-2-0-12.wav,101382,6.0,10.0,1,10,2,children_playing
58,101382-2-0-20.wav,101382,10.0,14.0,1,10,2,children_playing
59,101382-2-0-21.wav,101382,10.5,14.5,1,10,2,children_playing
60,101382-2-0-29.wav,101382,14.5,18.5,1,10,2,children_playing
61,101382-2-0-33.wav,101382,16.5,20.5,1,10,2,children_playing
62,101382-2-0-42.wav,101382,21.0,25.0,1,10,2,children_playing
63,101382-2-0-45.wav,101382,22.5,26.5,1,10,2,children_playing
64,101415-3-0-2.wav,101415,1.0,5.0,1,1,3,dog_bark
65,101415-3-0-3.wav,101415,1.5,5.5,1,1,3,dog_bark
66,101415-3-0-8.wav,101415,4.0,8.0,1,1,3,dog_bark
94,101848-9-0-0.wav,101848,0.0,4.0,1,7,9,street_music
95,101848-9-0-1.wav,101848,0.5,4.5,1,7,9,street_music
96,101848-9-0-2.wav,101848,1.0,5.0,1,7,9,street_music
97,101848-9-0-3.wav,101848,1.5,5.5,1,7,9,street_music
98,101848-9-0-8.wav,101848,4.0,8.0,1,7,9,street_music
99,101848-9-0-9.wav,101848,4.5,8.5,1,7,9,street_music
106,102305-6-0-0.wav,102305,0.0,2.61161,1,1,6,gun_shot
107,102547-3-0-2.wav,102547,1.0,5.0,1,5,3,dog_bark
108,102547-3-0-7.wav,102547,3.5,7.5,1,5,3,dog_bark
109,102547-3-0-8.wav,102547,4.0,8.0,1,5,3,dog_bark
122,102857-5-0-0.wav,102857,0.0,4.0,1,10,5,engine_idling
123,102857-5-0-1.wav,102857,0.5,4.5,1,10,5,engine_idling
124,102857-5-0-10.wav,102857,5.0,9.0,1,10,5,engine_idling
125,102857-5-0-11.wav,102857,5.5,9.5,1,10,5,engine_idling
126,102857-5-0-12.wav,102857,6.0,10.0,1,10,5,engine_idling
127,102857-5-0-13.wav,102857,6.5,10.5,1,10,5,engine_idling
128,102857-5-0-14.wav,102857,7.0,11.0,1,10,5,engine_idling
129,102857-5-0-15.wav,102857,7.5,11.5,1,10,5,engine_idling
130,102857-5-0-16.wav,102857,8.0,12.0,1,10,5,engine_idling
131,102857-5-0-17.wav,102857,8.5,12.5,1,10,5,engine_idling
132,102857-5-0-18.wav,102857,9.0,13.0,1,10,5,engine_idling
133,102857-5-0-19.wav,102857,9.5,13.5,1,10,5,engine_idling
134,102857-5-0-2.wav,102857,1.0,5.0,1,10,5,engine_idling
135,102857-5-0-20.wav,102857,10.0,14.0,1,10,5,engine_idling
136,102857-5-0-21.wav,102857,10.5,14.5,1,10,5,engine_idling
137,102857-5-0-22.wav,102857,11.0,15.0,1,10,5,engine_idling
138,102857-5-0-23.wav,102857,11.5,15.5,1,10,5,engine_idling
139,102857-5-0-24.wav,102857,12.0,16.0,1,10,5,engine_idling
140,102857-5-0-25.wav,102857,12.5,16.5,1,10,5,engine_idling
141,102857-5-0-26.wav,102857,13.0,17.0,1,10,5,engine_idling
142,102857-5-0-27.wav,102857,13.5,17.5,1,10,5,engine_idling
143,102857-5-0-28.wav,102857,14.0,18.0,1,10,5,engine_idling
144,102857-5-0-29.wav,102857,14.5,18.5,1,10,5,engine_idling
145,102857-5-0-3.wav,102857,1.5,5.5,1,10,5,engine_idling
146,102857-5-0-30.wav,102857,15.0,19.0,1,10,5,engine_idling
147,102857-5-0-4.wav,102857,2.0,6.0,1,10,5,engine_idling
148,102857-5-0-5.wav,102857,2.5,6.5,1,10,5,engine_idling
149,102857-5-0-6.wav,102857,3.0,7.0,1,10,5,engine_idling
150,102857-5-0-7.wav,102857,3.5,7.5,1,10,5,engine_idling
151,102857-5-0-8.wav,102857,4.0,8.0,1,10,5,engine_idling
152,102857-5-0-9.wav,102857,4.5,8.5,1,10,5,engine_idling
153,102858-5-0-0.wav,102858,0.0,4.0,1,2,5,engine_idling
154,102858-5-0-1.wav,102858,0.5,4.5,1,2,5,engine_idling
155,102871-8-0-0.wav,102871,0.0,4.0,1,2,8,siren
156,102871-8-0-1.wav,102871,0.5,4.5,1,2,8,siren
157,102871-8-0-10.wav,102871,5.0,9.0,1,2,8,siren
158,102871-8-0-11.wav,102871,5.5,9.5,1,2,8,siren
159,102871-8-0-12.wav,102871,6.0,10.0,1,2,8,siren
160,102871-8-0-13.wav,102871,6.5,10.5,1,2,8,siren
161,102871-8-0-14.wav,102871,7.0,11.0,1,2,8,siren
162,102871-8-0-15.wav,102871,7.5,11.5,1,2,8,siren
163,102871-8-0-2.wav,102871,1.0,5.0,1,2,8,siren
164,102871-8-0-3.wav,102871,1.5,5.5,1,2,8,siren
165,102871-8-0-4.wav,102871,2.0,6.0,1,2,8,siren
166,102871-8-0-5.wav,102871,2.5,6.5,1,2,8,siren
167,102871-8-0-6.wav,102871,3.0,7.0,1,2,8,siren
168,102871-8-0-7.wav,102871,3.5,7.5,1,2,8,siren
169,102871-8-0-8.wav,102871,4.0,8.0,1,2,8,siren
170,102871-8-0-9.wav,102871,4.5,8.5,1,2,8,siren
171,103074-7-0-0.wav,103074,3.341279,7.341279,1,1,7,jackhammer
172,103074-7-0-1.wav,103074,3.841279,7.841279,1,1,7,jackhammer
173,103074-7-0-2.wav,103074,4.341279,8.341279,1,1,7,jackhammer
174,103074-7-1-0.wav,103074,22.517317,26.517317,1,1,7,jackhammer
175,103074-7-1-1.wav,103074,23.017317,27.017317,1,1,7,jackhammer
176,103074-7-1-2.wav,103074,23.517317,27.517317,1,1,7,jackhammer
177,103074-7-1-3.wav,103074,24.017317,28.017317,1,1,7,jackhammer
178,103074-7-1-4.wav,103074,24.517317,28.517317,1,1,7,jackhammer
179,103074-7-1-5.wav,103074,25.017317,29.017317,1,1,7,jackhammer
180,103074-7-1-6.wav,103074,25.517317,29.517317,1,1,7,jackhammer
181,103074-7-2-0.wav,103074,42.347083,43.727176,1,1,7,jackhammer
182,103074-7-3-0.wav,103074,46.632637,50.632637,1,1,7,jackhammer
183,103074-7-3-1.wav,103074,47.132637,51.132637,1,1,7,jackhammer
184,103074-7-3-2.wav,103074,47.632637,51.632637,1,1,7,jackhammer
185,103074-7-3-3.wav,103074,48.132637,52.132637,1,1,7,jackhammer
186,103074-7-4-0.wav,103074,60.651482,64.651482,1,1,7,jackhammer
187,103074-7-4-1.wav,103074,61.151482,65.151482,1,1,7,jackhammer
188,103074-7-4-2.wav,103074,61.651482,65.651482,1,1,7,jackhammer
189,103074-7-4-3.wav,103074,62.151482,66.151482,1,1,7,jackhammer
190,103074-7-4-4.wav,103074,62.651482,66.651482,1,1,7,jackhammer
191,103074-7-4-5.wav,103074,63.151482,67.151482,1,1,7,jackhammer
192,103074-7-4-6.wav,103074,63.651482,67.651482,1,1,7,jackhammer
193,103076-3-0-0.wav,103076,0.0,2.527184,1,8,3,dog_bark
194,103076-3-1-0.wav,103076,6.788349,7.756796,1,8,3,dog_bark
195,103076-3-2-0.wav,103076,10.265534,10.717475,1,8,3,dog_bark
196,103199-4-0-0.wav,103199,0.0,4.0,1,3,4,drilling
197,103199-4-0-3.wav,103199,1.5,5.5,1,3,4,drilling
198,103199-4-0-4.wav,103199,2.0,6.0,1,3,4,drilling
199,103199-4-0-5.wav,103199,2.5,6.5,1,3,4,drilling
200,103199-4-0-6.wav,103199,3.0,7.0,1,3,4,drilling
202,103199-4-2-0.wav,103199,17.617205,21.617205,1,3,4,drilling
203,103199-4-2-1.wav,103199,18.117205,22.117205,1,3,4,drilling
204,103199-4-2-10.wav,103199,22.617205,26.617205,1,3,4,drilling
205,103199-4-2-11.wav,103199,23.117205,27.117205,1,3,4,drilling
206,103199-4-2-2.wav,103199,18.617205,22.617205,1,3,4,drilling
207,103199-4-2-3.wav,103199,19.117205,23.117205,1,3,4,drilling
208,103199-4-2-4.wav,103199,19.617205,23.617205,1,3,4,drilling
209,103199-4-2-5.wav,103199,20.117205,24.117205,1,3,4,drilling
210,103199-4-2-6.wav,103199,20.617205,24.617205,1,3,4,drilling
211,103199-4-2-7.wav,103199,21.117205,25.117205,1,3,4,drilling
